attemptId,compileStatus,date,difficulty,mode,model,name,passed,resultPath,runAt,score,slug,solutionPath,status,total,zigVersion
2026-06-15-211650Z-r00-zebra-puzzle,compiled,2026-06-15,9,live,openrouter/free,Zebra Puzzle,2,data/silver/attempts/2026/06/15/211650Z-r00-zebra-puzzle/result.json,2026-06-15T21:17:45Z,100,zebra-puzzle,data/silver/attempts/2026/06/15/211650Z-r00-zebra-puzzle/solution.zig,pass,2,0.16.0
2026-06-16-062540Z-r00-space-age,compile_error,2026-06-16,1,live,openrouter/free,Space Age,0,data/silver/attempts/2026/06/16/062540Z-r00-space-age/result.json,2026-06-16T06:25:48Z,10,space-age,data/silver/attempts/2026/06/16/062540Z-r00-space-age/solution.zig,compile_error,8,0.16.0
2026-06-16-062540Z-r01-pangram,compile_error,2026-06-16,1,live,openrouter/free,Pangram,0,data/silver/attempts/2026/06/16/062540Z-r01-pangram/result.json,2026-06-16T06:25:52Z,10,pangram,data/silver/attempts/2026/06/16/062540Z-r01-pangram/solution.zig,compile_error,11,0.16.0
2026-06-16-062540Z-r02-reverse-string,compile_error,2026-06-16,1,live,openrouter/free,Reverse String,0,data/silver/attempts/2026/06/16/062540Z-r02-reverse-string/result.json,2026-06-16T06:26:19Z,10,reverse-string,data/silver/attempts/2026/06/16/062540Z-r02-reverse-string/solution.zig,compile_error,6,0.16.0
2026-06-16-062848Z-r00-scrabble-score,compile_error,2026-06-16,1,live,openrouter/free,Scrabble Score,0,data/silver/attempts/2026/06/16/062848Z-r00-scrabble-score/result.json,2026-06-16T06:29:30Z,10,scrabble-score,data/silver/attempts/2026/06/16/062848Z-r00-scrabble-score/solution.zig,compile_error,11,0.16.0
2026-06-16-062848Z-r01-scrabble-score,compile_error,2026-06-16,1,live,openrouter/free,Scrabble Score,0,data/silver/attempts/2026/06/16/062848Z-r01-scrabble-score/result.json,2026-06-16T06:30:05Z,10,scrabble-score,data/silver/attempts/2026/06/16/062848Z-r01-scrabble-score/solution.zig,compile_error,11,0.16.0
2026-06-16-062848Z-r02-scrabble-score,compiled,2026-06-16,1,live,openrouter/free,Scrabble Score,11,data/silver/attempts/2026/06/16/062848Z-r02-scrabble-score/result.json,2026-06-16T06:30:20Z,100,scrabble-score,data/silver/attempts/2026/06/16/062848Z-r02-scrabble-score/solution.zig,pass,11,0.16.0
2026-06-16-152135Z-r00-acronym,compile_error,2026-06-16,2,live,openrouter/free,Acronym,0,data/silver/attempts/2026/06/16/152135Z-r00-acronym/result.json,2026-06-16T15:22:10Z,10,acronym,data/silver/attempts/2026/06/16/152135Z-r00-acronym/solution.zig,compile_error,9,0.16.0
2026-06-16-152135Z-r01-acronym,compile_error,2026-06-16,2,live,openrouter/free,Acronym,0,data/silver/attempts/2026/06/16/152135Z-r01-acronym/result.json,2026-06-16T15:22:11Z,10,acronym,data/silver/attempts/2026/06/16/152135Z-r01-acronym/solution.zig,compile_error,9,0.16.0
2026-06-16-152135Z-r02-acronym,compile_error,2026-06-16,2,live,openrouter/free,Acronym,0,data/silver/attempts/2026/06/16/152135Z-r02-acronym/result.json,2026-06-16T15:22:39Z,10,acronym,data/silver/attempts/2026/06/16/152135Z-r02-acronym/solution.zig,compile_error,9,0.16.0
2026-06-17-143903Z-r00-raindrops,compile_error,2026-06-17,1,live,openrouter/free,Raindrops,0,data/silver/attempts/2026/06/17/143903Z-r00-raindrops/result.json,2026-06-17T14:39:33Z,10,raindrops,data/silver/attempts/2026/06/17/143903Z-r00-raindrops/solution.zig,compile_error,18,0.16.0
2026-06-17-143903Z-r01-raindrops,compiled,2026-06-17,1,live,openrouter/free,Raindrops,18,data/silver/attempts/2026/06/17/143903Z-r01-raindrops/result.json,2026-06-17T14:41:29Z,100,raindrops,data/silver/attempts/2026/06/17/143903Z-r01-raindrops/solution.zig,pass,18,0.16.0
2026-06-18-143427Z-r00-square-root,compile_error,2026-06-18,2,live,openrouter/free,Square Root,0,data/silver/attempts/2026/06/18/143427Z-r00-square-root/result.json,2026-06-18T14:34:34Z,10,square-root,data/silver/attempts/2026/06/18/143427Z-r00-square-root/solution.zig,compile_error,6,0.16.0
2026-06-18-143427Z-r01-square-root,compile_error,2026-06-18,2,live,openrouter/free,Square Root,0,data/silver/attempts/2026/06/18/143427Z-r01-square-root/result.json,2026-06-18T14:35:34Z,10,square-root,data/silver/attempts/2026/06/18/143427Z-r01-square-root/solution.zig,compile_error,6,0.16.0
2026-06-18-143427Z-r02-square-root,compile_error,2026-06-18,2,live,openrouter/free,Square Root,0,data/silver/attempts/2026/06/18/143427Z-r02-square-root/result.json,2026-06-18T14:35:39Z,10,square-root,data/silver/attempts/2026/06/18/143427Z-r02-square-root/solution.zig,compile_error,6,0.16.0
2026-06-19-143056Z-r00-sum-of-multiples,compile_error,2026-06-19,1,live,openrouter/free,Sum of Multiples,0,data/silver/attempts/2026/06/19/143056Z-r00-sum-of-multiples/result.json,2026-06-19T14:33:00Z,10,sum-of-multiples,data/silver/attempts/2026/06/19/143056Z-r00-sum-of-multiples/solution.zig,compile_error,17,0.16.0
2026-06-19-143056Z-r01-sum-of-multiples,compile_error,2026-06-19,1,live,openrouter/free,Sum of Multiples,0,data/silver/attempts/2026/06/19/143056Z-r01-sum-of-multiples/result.json,2026-06-19T14:35:18Z,10,sum-of-multiples,data/silver/attempts/2026/06/19/143056Z-r01-sum-of-multiples/solution.zig,compile_error,17,0.16.0
2026-06-19-143056Z-r02-sum-of-multiples,compile_error,2026-06-19,1,live,openrouter/free,Sum of Multiples,0,data/silver/attempts/2026/06/19/143056Z-r02-sum-of-multiples/result.json,2026-06-19T14:35:36Z,10,sum-of-multiples,data/silver/attempts/2026/06/19/143056Z-r02-sum-of-multiples/solution.zig,compile_error,17,0.16.0
2026-06-20-142331Z-r00-triangle,compiled,2026-06-20,1,live,openrouter/free,Triangle,21,data/silver/attempts/2026/06/20/142331Z-r00-triangle/result.json,2026-06-20T14:23:42Z,100,triangle,data/silver/attempts/2026/06/20/142331Z-r00-triangle/solution.zig,pass,21,0.16.0
2026-06-21-142354Z-r00-difference-of-squares,compile_error,2026-06-21,2,live,openrouter/free,Difference of Squares,0,data/silver/attempts/2026/06/21/142354Z-r00-difference-of-squares/result.json,2026-06-21T14:23:56Z,10,difference-of-squares,data/silver/attempts/2026/06/21/142354Z-r00-difference-of-squares/solution.zig,compile_error,9,0.16.0
2026-06-21-142354Z-r01-difference-of-squares,compile_error,2026-06-21,2,live,openrouter/free,Difference of Squares,0,data/silver/attempts/2026/06/21/142354Z-r01-difference-of-squares/result.json,2026-06-21T14:24:30Z,10,difference-of-squares,data/silver/attempts/2026/06/21/142354Z-r01-difference-of-squares/solution.zig,compile_error,9,0.16.0
2026-06-21-142354Z-r02-difference-of-squares,compile_error,2026-06-21,2,live,openrouter/free,Difference of Squares,0,data/silver/attempts/2026/06/21/142354Z-r02-difference-of-squares/result.json,2026-06-21T14:25:10Z,10,difference-of-squares,data/silver/attempts/2026/06/21/142354Z-r02-difference-of-squares/solution.zig,compile_error,9,0.16.0
2026-06-22-152514Z-r00-nucleotide-count,compiled,2026-06-22,1,live,openrouter/free,Nucleotide Count,5,data/silver/attempts/2026/06/22/152514Z-r00-nucleotide-count/result.json,2026-06-22T15:25:22Z,100,nucleotide-count,data/silver/attempts/2026/06/22/152514Z-r00-nucleotide-count/solution.zig,pass,5,0.16.0
2026-06-24-142836Z-r00-grains,compile_error,2026-06-24,2,live,openrouter/free,Grains,0,data/silver/attempts/2026/06/24/142836Z-r00-grains/result.json,2026-06-24T14:29:01Z,10,grains,data/silver/attempts/2026/06/24/142836Z-r00-grains/solution.zig,compile_error,10,0.16.0
2026-06-24-142836Z-r01-grains,compile_error,2026-06-24,2,live,openrouter/free,Grains,0,data/silver/attempts/2026/06/24/142836Z-r01-grains/result.json,2026-06-24T14:30:28Z,10,grains,data/silver/attempts/2026/06/24/142836Z-r01-grains/solution.zig,compile_error,10,0.16.0
2026-06-24-142836Z-r02-grains,compile_error,2026-06-24,2,live,openrouter/free,Grains,0,data/silver/attempts/2026/06/24/142836Z-r02-grains/result.json,2026-06-24T14:30:49Z,10,grains,data/silver/attempts/2026/06/24/142836Z-r02-grains/solution.zig,compile_error,10,0.16.0
2026-06-25-142546Z-r00-hello-world,compiled,2026-06-25,1,live,openrouter/free,Hello World,1,data/silver/attempts/2026/06/25/142546Z-r00-hello-world/result.json,2026-06-25T14:25:50Z,100,hello-world,data/silver/attempts/2026/06/25/142546Z-r00-hello-world/solution.zig,pass,1,0.16.0
2026-06-26-142458Z-r00-collatz-conjecture,compile_error,2026-06-26,2,live,openrouter/free,Collatz Conjecture,0,data/silver/attempts/2026/06/26/142458Z-r00-collatz-conjecture/result.json,2026-06-26T14:25:29Z,10,collatz-conjecture,data/silver/attempts/2026/06/26/142458Z-r00-collatz-conjecture/solution.zig,compile_error,5,0.16.0
2026-06-26-142458Z-r01-collatz-conjecture,compile_error,2026-06-26,2,live,openrouter/free,Collatz Conjecture,0,data/silver/attempts/2026/06/26/142458Z-r01-collatz-conjecture/result.json,2026-06-26T14:27:58Z,10,collatz-conjecture,data/silver/attempts/2026/06/26/142458Z-r01-collatz-conjecture/solution.zig,compile_error,5,0.16.0
2026-06-26-142458Z-r02-collatz-conjecture,compile_error,2026-06-26,2,live,openrouter/free,Collatz Conjecture,0,data/silver/attempts/2026/06/26/142458Z-r02-collatz-conjecture/result.json,2026-06-26T14:28:15Z,10,collatz-conjecture,data/silver/attempts/2026/06/26/142458Z-r02-collatz-conjecture/solution.zig,compile_error,5,0.16.0
2026-06-27-141134Z-r00-leap,compile_error,2026-06-27,1,live,openrouter/free,Leap,0,data/silver/attempts/2026/06/27/141134Z-r00-leap/result.json,2026-06-27T14:11:35Z,10,leap,data/silver/attempts/2026/06/27/141134Z-r00-leap/solution.zig,compile_error,9,0.16.0
2026-06-27-141134Z-r01-leap,compiled,2026-06-27,1,live,openrouter/free,Leap,9,data/silver/attempts/2026/06/27/141134Z-r01-leap/result.json,2026-06-27T14:11:42Z,100,leap,data/silver/attempts/2026/06/27/141134Z-r01-leap/solution.zig,pass,9,0.16.0
2026-06-28-141649Z-r00-resistor-color,compiled,2026-06-28,2,live,openrouter/free,Resistor Color,4,data/silver/attempts/2026/06/28/141649Z-r00-resistor-color/result.json,2026-06-28T14:17:07Z,100,resistor-color,data/silver/attempts/2026/06/28/141649Z-r00-resistor-color/solution.zig,pass,4,0.16.0
2026-06-29-145210Z-r00-binary-search,compile_error,2026-06-29,3,live,openrouter/free,Binary Search,0,data/silver/attempts/2026/06/29/145210Z-r00-binary-search/result.json,2026-06-29T14:52:12Z,10,binary-search,data/silver/attempts/2026/06/29/145210Z-r00-binary-search/solution.zig,compile_error,11,0.16.0
2026-06-29-145210Z-r01-binary-search,compile_error,2026-06-29,3,live,openrouter/free,Binary Search,0,data/silver/attempts/2026/06/29/145210Z-r01-binary-search/result.json,2026-06-29T14:55:27Z,10,binary-search,data/silver/attempts/2026/06/29/145210Z-r01-binary-search/solution.zig,compile_error,11,0.16.0
2026-06-29-145210Z-r02-binary-search,compile_error,2026-06-29,3,live,openrouter/free,Binary Search,0,data/silver/attempts/2026/06/29/145210Z-r02-binary-search/result.json,2026-06-29T14:56:55Z,10,binary-search,data/silver/attempts/2026/06/29/145210Z-r02-binary-search/solution.zig,compile_error,11,0.16.0
